SERVICE_DATE,PEAK_OFFPEAK_IND,MODE_TYPE,ROUTE_OR_LINE,ROUTE_TYPE,STOP,METRIC_TYPE,OTP_NUMERATOR,OTP_DENOMINATOR
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,83,OTH,,"Headway / Schedule Adherence",209.000000000,253.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,CT2,OTH,,"Headway / Schedule Adherence",163.000000000,376.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Bus,CT3,OTH,,"Headway / Schedule Adherence",131.000000000,179.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Commuter,"Middleboro Line",,,"Headway / Schedule Adherence",14.000000000,16.000000000
02-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Blue Line","Blue Line","State Street ","Passenger Wait Time",135.247749313,5283.077077708
02-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Green-B Line","Green Line","Blandford Street ","Passenger Wait Time",90.037858824,351.078035850
02-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Green-B Line","Green Line","Chestnut Hill Avenue ","Passenger Wait Time",40.484468396,201.789915759
02-MAR-2016,"Off-Peak Service (All Other Times)",Rail,"Green-B Line","Green Line","Saint Paul Street ","Passenger Wait Time",80.868092589,308.746874334
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,35,OTH,,"Headway / Schedule Adherence",181.000000000,254.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,352,OTH,,"Headway / Schedule Adherence",47.000000000,57.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,42,OTH,,"Headway / Schedule Adherence",102.000000000,175.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,426,OTH,,"Headway / Schedule Adherence",134.000000000,214.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,504,OTH,,"Headway / Schedule Adherence",219.000000000,283.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,60,OTH,,"Headway / Schedule Adherence",102.000000000,214.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,65,OTH,,"Headway / Schedule Adherence",185.000000000,246.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,68,OTH,,"Headway / Schedule Adherence",20.000000000,38.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,73,KBR,,"Headway / Schedule Adherence",707.000000000,796.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,746,SL,,"Headway / Schedule Adherence",344.000000000,373.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,131,OTH,,"Headway / Schedule Adherence",162.000000000,183.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,17,OTH,,"Headway / Schedule Adherence",178.000000000,218.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,210,OTH,,"Headway / Schedule Adherence",92.000000000,156.000000000
02-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,215,OTH,,"Headway / Schedule Adherence",142.000000000,239.000000000
